transaction_date,customer_name,transaction_type,revenue,cost,product,order_status,department,profit,forecasted_revenue
2023-05-21,Customer_0046,Sale,270971523.00,224906364.09,Product_0046,Delivered,Finance,46065158.91,265552092.54
2023-05-22,Customer_0047,Sale,976130988.00,927324438.60,Product_0047,Cancelled,IT,48806549.40,995653607.76
2023-05-23,Customer_0048,Return,1977198058.00,2787553512.00,Product_0048,Returned,HR,-810355454.00,0.00
2023-05-24,Customer_0049,Sale,460712239.00,340927056.86,Product_0049,Completed,Support,119785182.14,497569218.12
2023-05-25,Customer_0050,Sale,760436986.00,441053451.88,Product_0050,Processing,Sales,319383534.12,806063205.16
2023-05-26,Customer_0051,Sale,814284312.00,675855978.96,Product_0051,Shipped,Marketing,138428333.04,838712841.36
2023-05-27,Customer_0052,Sale,1196562777.00,1029043988.22,Product_0052,Delivered,Operations,167518788.78,1136734638.15
2023-05-28,Customer_0053,Sale,937832738.00,890941101.10,Product_0053,Cancelled,Finance,46891636.90,956589392.76
2023-05-29,Customer_0054,Return,646901407.00,859506977.00,Product_0054,Returned,IT,-212605570.00,0.00
2023-05-30,Customer_0055,Sale,1685202839.00,926861561.45,Product_0055,Completed,HR,758341277.55,1820019066.12
2023-05-31,Customer_0056,Sale,2042991849.00,1756972990.14,Product_0056,Processing,Support,286018858.86,2022561930.51
2023-06-01,Customer_0057,Sale,1800393059.00,1386302655.43,Product_0057,Shipped,Sales,414090403.57,1854404850.77
2023-06-02,Customer_0058,Sale,1765257641.00,1006196855.37,Product_0058,Delivered,Marketing,759060785.63,1906478252.28
2023-06-03,Customer_0059,Sale,1267227236.00,1203865874.20,Product_0059,Cancelled,Operations,63361361.80,1292571780.72
2023-06-04,Customer_0060,Return,959935625.00,2478967554.00,Product_0060,Returned,Finance,-1519031929.00,0.00
2023-06-05,Customer_0061,Sale,840848586.00,597002496.06,Product_0061,Completed,IT,243846089.94,849257071.86
2023-06-06,Customer_0062,Sale,2001934115.00,1521469927.40,Product_0062,Processing,HR,480464187.60,2021953456.15
2023-06-07,Customer_0063,Sale,1175295973.00,705177583.80,Product_0063,Shipped,Support,470118389.20,1163543013.27
2023-06-08,Customer_0064,Sale,1982338603.00,1110109617.68,Product_0064,Delivered,Sales,872228985.32,2121102305.21
2023-06-09,Customer_0065,Sale,63932043.00,60735440.85,Product_0065,Cancelled,Marketing,3196602.15,65210683.86
2023-06-10,Customer_0066,Return,453362273.00,2481134832.00,Product_0066,Returned,Operations,-2027772559.00,0.00
2023-06-11,Customer_0067,Sale,595963188.00,399295335.96,Product_0067,Completed,Finance,196667852.04,643640243.04
2023-06-12,Customer_0068,Sale,817614997.00,654091997.60,Product_0068,Processing,IT,163522999.40,793086547.09
2023-06-13,Customer_0069,Sale,354716043.00,269584192.68,Product_0069,Shipped,HR,85131850.32,340527401.28
2023-06-14,Customer_0070,Sale,1670119988.00,1419601989.80,Product_0070,Delivered,Support,250517998.20,1770327187.28
2023-06-15,Customer_0071,Sale,2038523993.00,1936597793.35,Product_0071,Cancelled,Sales,101926199.65,2079294472.86
2023-06-16,Customer_0072,Return,546927445.00,2515561679.00,Product_0072,Returned,Marketing,-1968634234.00,0.00
2023-06-17,Customer_0073,Sale,1108917432.00,620993761.92,Product_0073,Completed,Operations,487923670.08,1120006606.32
2023-06-18,Customer_0074,Sale,1495442076.00,1330943447.64,Product_0074,Processing,Finance,164498628.36,1540305338.28
2023-06-19,Customer_0075,Sale,1023445931.00,736881070.32,Product_0075,Shipped,IT,286564860.68,992742553.07
2023-06-20,Customer_0076,Sale,830843800.00,548356908.00,Product_0076,Delivered,HR,282486892.00,864077552.00
2023-06-21,Customer_0077,Sale,1835435987.00,1743664187.65,Product_0077,Cancelled,Support,91771799.35,1872144706.74
2023-06-22,Customer_0078,Return,837903443.00,1308589526.00,Product_0078,Returned,Sales,-470686083.00,0.00
2023-06-23,Customer_0079,Sale,1433263628.00,960286630.76,Product_0079,Completed,Marketing,472976997.24,1404598355.44
2023-06-24,Customer_0080,Sale,1456630280.00,1296400949.20,Product_0080,Processing,Operations,160229330.80,1456630280.00
2023-06-25,Customer_0081,Sale,911206528.00,810973809.92,Product_0081,Shipped,Finance,100232718.08,984103050.24
2023-06-26,Customer_0082,Sale,2026302915.00,1114466603.25,Product_0082,Delivered,IT,911836311.75,2208670177.35
2023-06-27,Customer_0083,Sale,1370585305.00,1302056039.75,Product_0083,Cancelled,HR,68529265.25,1397997011.10
2023-06-28,Customer_0084,Return,57497116.00,1603837221.00,Product_0084,Returned,Support,-1546340105.00,0.00
2023-06-29,Customer_0085,Sale,533617500.00,336179025.00,Product_0085,Completed,Sales,197438475.00,517608975.00
2023-06-30,Customer_0086,Sale,1467020219.00,1232296983.96,Product_0086,Processing,Marketing,234723235.04,1599052038.71
2023-07-01,Customer_0087,Sale,1087909492.00,750657549.48,Product_0087,Shipped,Operations,337251942.52,1164063156.44
2023-07-02,Customer_0088,Sale,12490032.00,8243421.12,Product_0088,Delivered,Finance,4246610.88,12614932.32
2023-07-03,Customer_0089,Sale,96354946.00,91537198.70,Product_0089,Cancelled,IT,4817747.30,98282044.92
2023-07-04,Customer_0090,Return,146848507.00,566226295.00,Product_0090,Returned,HR,-419377788.00,0.00
2023-07-05,Customer_0091,Sale,759116113.00,592110568.14,Product_0091,Completed,Support,167005544.86,743933790.74
2023-07-06,Customer_0092,Sale,1377983829.00,881909650.56,Product_0092,Processing,Sales,496074178.44,1419323343.87
2023-07-07,Customer_0093,Sale,1950603451.00,1111843967.07,Product_0093,Shipped,Marketing,838759483.93,2067639658.06
2023-07-08,Customer_0094,Sale,891727544.00,793637514.16,Product_0094,Delivered,Operations,98090029.84,954148472.08
2023-07-09,Customer_0095,Sale,1789233433.00,1699771761.35,Product_0095,Cancelled,Finance,89461671.65,1825018101.66
2023-07-10,Customer_0096,Return,601102634.00,1500161797.00,Product_0096,Returned,IT,-899059163.00,0.00
2023-07-11,Customer_0097,Sale,736315005.00,419699552.85,Product_0097,Completed,HR,316615452.15,795220205.40
2023-07-12,Customer_0098,Sale,2107648113.00,1643965528.14,Product_0098,Processing,Support,463682584.86,2213030518.65
2023-07-13,Customer_0099,Sale,1412125274.00,1129700219.20,Product_0099,Shipped,Sales,282425054.80,1440367779.48
2023-07-14,Customer_0100,Sale,592967076.00,498092343.84,Product_0100,Delivered,Marketing,94874732.16,581107734.48
2023-07-15,Customer_0101,Sale,598831838.00,568890246.10,Product_0101,Cancelled,Operations,29941591.90,610808474.76
2023-07-16,Customer_0102,Return,1435125150.00,3248168069.00,Product_0102,Returned,Finance,-1813042919.00,0.00
2023-07-17,Customer_0103,Sale,478233345.00,306069340.80,Product_0103,Completed,IT,172164004.20,502145012.25
2023-07-18,Customer_0104,Sale,444864383.00,280264561.29,Product_0104,Processing,HR,164599821.71,422621163.85
2023-07-19,Customer_0105,Sale,551270704.00,407940320.96,Product_0105,Shipped,Support,143330383.04,545757996.96
2023-07-20,Customer_0106,Sale,275766789.00,198552088.08,Product_0106,Delivered,Sales,77214700.92,295070464.23
2023-07-21,Customer_0107,Sale,1267303450.00,1203938277.50,Product_0107,Cancelled,Marketing,63365172.50,1292649519.00
2023-07-22,Customer_0108,Return,1389936061.00,1395277836.00,Product_0108,Returned,Operations,-5341775.00,0.00
2023-07-23,Customer_0109,Sale,281295694.00,210971770.50,Product_0109,Completed,Finance,70323923.50,272856823.18
2023-07-24,Customer_0110,Sale,1193731035.00,752050552.05,Product_0110,Processing,IT,441680482.95,1134044483.25
2023-07-25,Customer_0111,Sale,73646670.00,53025602.40,Product_0111,Shipped,HR,20621067.60,71437269.90
2023-07-26,Customer_0112,Sale,2090704485.00,1777098812.25,Product_0112,Delivered,Support,313605672.75,2027983350.45
2023-07-27,Customer_0113,Sale,1772688056.00,1684053653.20,Product_0113,Cancelled,Sales,88634402.80,1808141817.12
2023-07-28,Customer_0114,Return,466314847.00,687943081.00,Product_0114,Returned,Marketing,-221628234.00,0.00
2023-07-29,Customer_0115,Sale,323944086.00,233239741.92,Product_0115,Completed,Operations,90704344.08,353099053.74
2023-07-30,Customer_0116,Sale,1283921373.00,1052815525.86,Product_0116,Processing,Finance,231105847.14,1232564518.08
2023-07-31,Customer_0117,Sale,819759944.00,549239162.48,Product_0117,Shipped,IT,270520781.52,893538338.96
2023-08-01,Customer_0118,Sale,997367619.00,887657180.91,Product_0118,Delivered,HR,109710438.09,1037262323.76
2023-08-02,Customer_0119,Sale,1003843491.00,953651316.45,Product_0119,Cancelled,Support,50192174.55,1023920360.82
2023-08-03,Customer_0120,Return,1993497849.00,3934509578.00,Product_0120,Returned,Sales,-1941011729.00,0.00
2023-08-04,Customer_0121,Sale,1913020190.00,1205202719.70,Product_0121,Completed,Marketing,707817470.30,2066061805.20
2023-08-05,Customer_0122,Sale,1093488400.00,874790720.00,Product_0122,Processing,Operations,218697680.00,1093488400.00
2023-08-06,Customer_0123,Sale,483385781.00,401210198.23,Product_0123,Shipped,Finance,82175582.77,459216491.95
2023-08-07,Customer_0124,Sale,1629691780.00,1205971917.20,Product_0124,Delivered,IT,423719862.80,1743770204.60
2023-08-08,Customer_0125,Sale,1869218157.00,1775757249.15,Product_0125,Cancelled,HR,93460907.85,1906602520.14
2023-08-09,Customer_0126,Return,426035621.00,951897766.00,Product_0126,Returned,Support,-525862145.00,0.00
2023-08-10,Customer_0127,Sale,199274054.00,117571691.86,Product_0127,Completed,Sales,81702362.14,195288572.92
2023-08-11,Customer_0128,Sale,803619005.00,498243783.10,Product_0128,Processing,Marketing,305375221.90,859872335.35
2023-08-12,Customer_0129,Sale,307406204.00,190591846.48,Product_0129,Shipped,Operations,116814357.52,328924638.28
2023-08-13,Customer_0130,Sale,2122659299.00,1167462614.45,Product_0130,Delivered,Finance,955196684.55,2080206113.02
2023-08-14,Customer_0131,Sale,500302187.00,475287077.65,Product_0131,Cancelled,IT,25015109.35,510308230.74
2023-08-15,Customer_0132,Return,1793313517.00,3596579677.00,Product_0132,Returned,HR,-1803266160.00,0.00
2023-08-16,Customer_0133,Sale,1674209167.00,1188688508.57,Product_0133,Completed,Support,485520658.43,1724435442.01
2023-08-17,Customer_0134,Sale,571603363.00,491578892.18,Product_0134,Processing,Sales,80024470.82,554455262.11
2023-08-18,Customer_0135,Sale,692037660.00,539789374.80,Product_0135,Shipped,Marketing,152248285.20,733559919.60
2023-08-19,Customer_0136,Sale,2039098856.00,1305023267.84,Product_0136,Delivered,Operations,734075588.16,2161444787.36
2023-08-20,Customer_0137,Sale,1119256953.00,1063294105.35,Product_0137,Cancelled,Finance,55962847.65,1141642092.06
2023-08-21,Customer_0138,Return,2126265747.00,2167054279.00,Product_0138,Returned,IT,-40788532.00,0.00
2023-08-22,Customer_0139,Sale,1620522433.00,988518684.13,Product_0139,Completed,HR,632003748.87,1571906760.01
2023-08-23,Customer_0140,Sale,521636721.00,359929337.49,Product_0140,Processing,Support,161707383.51,495554884.95
2023-08-24,Customer_0141,Sale,1137538822.00,864529504.72,Product_0141,Shipped,Sales,273009317.28,1217166539.54
2023-08-25,Customer_0142,Sale,900119626.00,702093308.28,Product_0142,Delivered,Marketing,198026317.72,909120822.26
2023-08-26,Customer_0143,Sale,1718949136.00,1633001679.20,Product_0143,Cancelled,Operations,85947456.80,1753328118.72
2023-08-27,Customer_0144,Return,1766967462.00,2825184788.00,Product_0144,Returned,Finance,-1058217326.00,0.00
2023-08-28,Customer_0145,Sale,1614714740.00,1307918939.40,Product_0145,Completed,IT,306795800.60,1598567592.60
2023-08-29,Customer_0146,Sale,1284781354.00,989281642.58,Product_0146,Processing,HR,295499711.42,1233390099.84
2023-08-30,Customer_0147,Sale,1714168210.00,994217561.80,Product_0147,Shipped,Support,719950648.20,1834159984.70
2023-08-31,Customer_0148,Sale,1663890997.00,1397668437.48,Product_0148,Delivered,Sales,266222559.52,1680529906.97
2023-09-01,Customer_0149,Sale,957193505.00,909333829.75,Product_0149,Cancelled,Marketing,47859675.25,976337375.10
2023-09-02,Customer_0150,Return,61508543.00,210194101.00,Product_0150,Returned,Operations,-148685558.00,0.00
2023-09-03,Customer_0151,Sale,36398301.00,20747031.57,Product_0151,Completed,Finance,15651269.43,38946182.07
2023-09-04,Customer_0152,Sale,325244269.00,273205185.96,Product_0152,Processing,IT,52039083.04,321991826.31
2023-09-05,Customer_0153,Sale,922930195.00,572216720.90,Product_0153,Shipped,HR,350713474.10,950618100.85
2023-09-06,Customer_0154,Sale,67980825.00,53025043.50,Product_0154,Delivered,Support,14955781.50,68660633.25
2023-09-07,Customer_0155,Sale,641904091.00,609808886.45,Product_0155,Cancelled,Sales,32095204.55,654742172.82
2023-09-08,Customer_0156,Return,1647266347.00,1770479342.00,Product_0156,Returned,Marketing,-123212995.00,0.00
2023-09-09,Customer_0157,Sale,496388341.00,407038439.62,Product_0157,Completed,Operations,89349901.38,476532807.36
2023-09-10,Customer_0158,Sale,1148513130.00,861384847.50,Product_0158,Processing,Finance,287128282.50,1251879311.70
2023-09-11,Customer_0159,Sale,1877216257.00,1107557591.63,Product_0159,Shipped,IT,769658665.37,1783355444.15
2023-09-12,Customer_0160,Sale,287069838.00,209560981.74,Product_0160,Delivered,HR,77508856.26,298552631.52
2023-09-13,Customer_0161,Sale,624701232.00,593466170.40,Product_0161,Cancelled,Support,31235061.60,637195256.64
2023-09-14,Customer_0162,Return,1661396353.00,3222486844.00,Product_0162,Returned,Sales,-1561090491.00,0.00
2023-09-15,Customer_0163,Sale,1523988101.00,1036311908.68,Product_0163,Completed,Marketing,487676192.32,1554467863.02
2023-09-16,Customer_0164,Sale,1273329112.00,725797593.84,Product_0164,Processing,Operations,547531518.16,1260595820.88
2023-09-17,Customer_0165,Sale,315600763.00,233544564.62,Product_0165,Shipped,Finance,82056198.38,344004831.67
2023-09-18,Customer_0166,Sale,1191115451.00,738491579.62,Product_0166,Delivered,IT,452623871.38,1286404687.08
2023-09-19,Customer_0167,Sale,1738323381.00,1651407211.95,Product_0167,Cancelled,HR,86916169.05,1773089848.62
2023-09-20,Customer_0168,Return,1006084286.00,1782289546.00,Product_0168,Returned,Support,-776205260.00,0.00
2023-09-21,Customer_0169,Sale,297785981.00,250140224.04,Product_0169,Completed,Sales,47645756.96,297785981.00
2023-09-22,Customer_0170,Sale,1459990913.00,817594911.28,Product_0170,Processing,Marketing,642396001.72,1401591276.48
2023-09-23,Customer_0171,Sale,2123325220.00,1273995132.00,Product_0171,Shipped,Operations,849330088.00,2123325220.00
2023-09-24,Customer_0172,Sale,876038177.00,727111686.91,Product_0172,Delivered,Finance,148926490.09,832236268.15
2023-09-25,Customer_0173,Sale,1224577542.00,1163348664.90,Product_0173,Cancelled,IT,61228877.10,1249069092.84
2023-09-26,Customer_0174,Return,1040184539.00,2765363463.00,Product_0174,Returned,HR,-1725178924.00,0.00
2023-09-27,Customer_0175,Sale,1702798815.00,1072763253.45,Product_0175,Completed,Support,630035561.55,1753882779.45
2023-09-28,Customer_0176,Sale,766707845.00,682369982.05,Product_0176,Processing,Sales,84337862.95,789709080.35
2023-09-29,Customer_0177,Sale,1571233335.00,1225562001.30,Product_0177,Shipped,Marketing,345671333.70,1681219668.45
2023-09-30,Customer_0178,Sale,1099952403.00,813964778.22,Product_0178,Delivered,Operations,285987624.78,1077953354.94
2023-10-01,Customer_0179,Sale,33124238.00,31468026.10,Product_0179,Cancelled,Finance,1656211.90,33786722.76
2023-10-02,Customer_0180,Return,1323130614.00,1578942320.00,Product_0180,Returned,IT,-255811706.00,0.00
2023-10-03,Customer_0181,Sale,1019803013.00,887228621.31,Product_0181,Completed,HR,132574391.69,1050397103.39
2023-10-04,Customer_0182,Sale,42783956.00,35938523.04,Product_0182,Processing,Support,6845432.96,41500437.32
2023-10-05,Customer_0183,Sale,2094361780.00,1863981984.20,Product_0183,Shipped,Sales,230379795.80,2136249015.60
2023-10-06,Customer_0184,Sale,469768173.00,310046994.18,Product_0184,Delivered,Marketing,159721178.82,450977446.08
2023-10-07,Customer_0185,Sale,651712476.00,619126852.20,Product_0185,Cancelled,Operations,32585623.80,664746725.52
2023-10-08,Customer_0186,Return,1325764365.00,2033298149.00,Product_0186,Returned,Finance,-707533784.00,0.00
2023-10-09,Customer_0187,Sale,352638849.00,243320805.81,Product_0187,Completed,IT,109318043.19,384376345.41
2023-10-10,Customer_0188,Sale,2123276751.00,1634923098.27,Product_0188,Processing,HR,488353652.73,2059578448.47
2023-10-11,Customer_0189,Sale,694807873.00,583638613.32,Product_0189,Shipped,Support,111169259.68,680911715.54
2023-10-12,Customer_0190,Sale,924207656.00,526798363.92,Product_0190,Delivered,Sales,397409292.08,951933885.68
2023-10-13,Customer_0191,Sale,1092031325.00,1037429758.75,Product_0191,Cancelled,Marketing,54601566.25,1113871951.50
2023-10-14,Customer_0192,Return,616244177.00,2269750747.00,Product_0192,Returned,Operations,-1653506570.00,0.00
2023-10-15,Customer_0193,Sale,1070631578.00,620966315.24,Product_0193,Completed,Finance,449665262.76,1134869472.68
2023-10-16,Customer_0194,Sale,1103287364.00,706103912.96,Product_0194,Processing,IT,397183451.04,1180517479.48
2023-10-17,Customer_0195,Sale,1558463292.00,1090924304.40,Product_0195,Shipped,HR,467538987.60,1496124760.32
2023-10-18,Customer_0196,Sale,1328385362.00,1182262972.18,Product_0196,Delivered,Support,146122389.82,1394804630.10
2023-10-19,Customer_0197,Sale,1603292940.00,1523128293.00,Product_0197,Cancelled,Sales,80164647.00,1635358798.80
2023-10-20,Customer_0198,Return,60952482.00,948103363.00,Product_0198,Returned,Marketing,-887150881.00,0.00
2023-10-21,Customer_0199,Sale,1863845429.00,1043753440.24,Product_0199,Completed,Operations,820091988.76,1882483883.29
2023-10-22,Customer_0200,Sale,1104700917.00,773290641.90,Product_0200,Processing,Finance,331410275.10,1137841944.51
2023-10-23,Customer_0201,Sale,293817141.00,161599427.55,Product_0201,Shipped,IT,132217713.45,320260683.69
2023-10-24,Customer_0202,Sale,1321269180.00,819186891.60,Product_0202,Delivered,HR,502082288.40,1374119947.20
2023-10-25,Customer_0203,Sale,788478985.00,749055035.75,Product_0203,Cancelled,Support,39423949.25,804248564.70
2023-10-26,Customer_0204,Return,1028610775.00,2232171577.00,Product_0204,Returned,Sales,-1203560802.00,0.00
2023-10-27,Customer_0205,Sale,599297532.00,377557445.16,Product_0205,Completed,Marketing,221740086.84,641248359.24
2023-10-28,Customer_0206,Sale,1109948171.00,832461128.25,Product_0206,Processing,Operations,277487042.75,1087749207.58
2023-10-29,Customer_0207,Sale,1743895378.00,1412555256.18,Product_0207,Shipped,Finance,331340121.82,1883407008.24
2023-10-30,Customer_0208,Sale,289574538.00,257721338.82,Product_0208,Delivered,IT,31853199.18,312740501.04
2023-10-31,Customer_0209,Sale,1304471286.00,1239247721.70,Product_0209,Cancelled,HR,65223564.30,1330560711.72
2023-11-01,Customer_0210,Return,1399540332.00,2028780852.00,Product_0210,Returned,Support,-629240520.00,0.00
2023-11-02,Customer_0211,Sale,428741378.00,373004998.86,Product_0211,Completed,Sales,55736379.14,458753274.46
2023-11-03,Customer_0212,Sale,870981217.00,627106476.24,Product_0212,Processing,Marketing,243874740.76,844851780.49
2023-11-04,Customer_0213,Sale,1670546369.00,1369848022.58,Product_0213,Shipped,Operations,300698346.42,1637135441.62
2023-11-05,Customer_0214,Sale,1056359929.00,707761152.43,Product_0214,Delivered,Finance,348598776.57,1077487127.58
2023-11-06,Customer_0215,Sale,2280667.00,2166633.65,Product_0215,Cancelled,IT,114033.35,2326280.34
2023-11-07,Customer_0216,Return,1900218517.00,2438523854.00,Product_0216,Returned,HR,-538305337.00,0.00
2023-11-08,Customer_0217,Sale,2124377839.00,1402089373.74,Product_0217,Completed,Support,722288465.26,2166865395.78
2023-11-09,Customer_0218,Sale,738335159.00,509451259.71,Product_0218,Processing,Sales,228883899.29,797401971.72
2023-11-10,Customer_0219,Sale,2038836594.00,1366020517.98,Product_0219,Shipped,Marketing,672816076.02,1936894764.30
2023-11-11,Customer_0220,Sale,2027143808.00,1783886551.04,Product_0220,Delivered,Operations,243257256.96,2047415246.08
2023-11-12,Customer_0221,Sale,696454035.00,661631333.25,Product_0221,Cancelled,Finance,34822701.75,710383115.70
2023-11-13,Customer_0222,Return,1328797555.00,1450494755.00,Product_0222,Returned,IT,-121697200.00,0.00
2023-11-14,Customer_0223,Sale,123579805.00,97628045.95,Product_0223,Completed,HR,25951759.05,118636612.80
2023-11-15,Customer_0224,Sale,1808377759.00,1446702207.20,Product_0224,Processing,Support,361675551.80,1916880424.54
2023-11-16,Customer_0225,Sale,592883958.00,385374572.70,Product_0225,Shipped,Sales,207509385.30,604741637.16
2023-11-17,Customer_0226,Sale,643688631.00,547135336.35,Product_0226,Delivered,Marketing,96553294.65,675873062.55
2023-11-18,Customer_0227,Sale,1177582477.00,1118703353.15,Product_0227,Cancelled,Operations,58879123.85,1201134126.54
2023-11-19,Customer_0228,Return,1433543735.00,1777807161.00,Product_0228,Returned,Finance,-344263426.00,0.00
2023-11-20,Customer_0229,Sale,1495692391.00,1331166227.99,Product_0229,Completed,IT,164526163.01,1510649314.91
2023-11-21,Customer_0230,Sale,2095992610.00,1383355122.60,Product_0230,Processing,HR,712637487.40,2054072757.80
2023-11-22,Customer_0231,Sale,1195944873.00,908918103.48,Product_0231,Shipped,Support,287026769.52,1183985424.27
2023-11-23,Customer_0232,Sale,1827054752.00,1205856136.32,Product_0232,Delivered,Sales,621198615.68,1881866394.56
2023-11-24,Customer_0233,Sale,1253084750.00,1190430512.50,Product_0233,Cancelled,Marketing,62654237.50,1278146445.00
2023-11-25,Customer_0234,Return,1490527156.00,2920412947.00,Product_0234,Returned,Operations,-1429885791.00,0.00
2023-11-26,Customer_0235,Sale,1402873563.00,1024097700.99,Product_0235,Completed,Finance,378775862.01,1501074712.41
2023-11-27,Customer_0236,Sale,263814213.00,155650385.67,Product_0236,Processing,IT,108163827.33,266452355.13
2023-11-28,Customer_0237,Sale,177095128.00,97402320.40,Product_0237,Shipped,HR,79692807.60,187720835.68
2023-11-29,Customer_0238,Sale,88858979.00,64867054.67,Product_0238,Delivered,Support,23991924.33,88858979.00
2023-11-30,Customer_0239,Sale,528141938.00,501734841.10,Product_0239,Cancelled,Sales,26407096.90,538704776.76
2023-12-01,Customer_0240,Return,221493515.00,2071558285.00,Product_0240,Returned,Marketing,-1850064770.00,0.00
2023-12-02,Customer_0241,Sale,808677939.00,622682013.03,Product_0241,Completed,Operations,185995925.97,800591159.61
