warehouse_code,name,location,city,country,manager,phone,email,capacity,current_stock,type,status,notes
WH-0038,Warehouse_0038,Loc_WH-0038_VungTau,VungTau,Vietnam,Manager_0038,0600000038,warehouse0038@example.com,7671,6467,regional,inactive,demo_data
WH-0039,Warehouse_0039,Loc_WH-0039_BinhDuong,BinhDuong,Vietnam,Manager_0039,0600000039,warehouse0039@example.com,19339,6088,distribution,maintenance,demo_data
WH-0040,Warehouse_0040,Loc_WH-0040_BacNinh,BacNinh,Vietnam,Manager_0040,0600000040,warehouse0040@example.com,14281,13223,retail,active,demo_data
WH-0041,Warehouse_0041,Loc_WH-0041_HaNoi,HaNoi,Vietnam,Manager_0001,0600000041,warehouse0041@example.com,5154,1284,main,inactive,demo_data
WH-0042,Warehouse_0042,Loc_WH-0042_HoChiMinh,HoChiMinh,Vietnam,Manager_0002,0600000042,warehouse0042@example.com,14595,10839,regional,maintenance,demo_data
WH-0043,Warehouse_0043,Loc_WH-0043_DaNang,DaNang,Vietnam,Manager_0003,0600000043,warehouse0043@example.com,872,281,distribution,active,demo_data
WH-0044,Warehouse_0044,Loc_WH-0044_HaiPhong,HaiPhong,Vietnam,Manager_0004,0600000044,warehouse0044@example.com,11041,3171,retail,inactive,demo_data
WH-0045,Warehouse_0045,Loc_WH-0045_CanTho,CanTho,Vietnam,Manager_0005,0600000045,warehouse0045@example.com,1734,902,main,maintenance,demo_data
WH-0046,Warehouse_0046,Loc_WH-0046_Hue,Hue,Vietnam,Manager_0006,0600000046,warehouse0046@example.com,3286,936,regional,active,demo_data
WH-0047,Warehouse_0047,Loc_WH-0047_NhaTrang,NhaTrang,Vietnam,Manager_0007,0600000047,warehouse0047@example.com,12231,5002,distribution,inactive,demo_data
WH-0048,Warehouse_0048,Loc_WH-0048_VungTau,VungTau,Vietnam,Manager_0008,0600000048,warehouse0048@example.com,14436,1359,retail,maintenance,demo_data
WH-0049,Warehouse_0049,Loc_WH-0049_BinhDuong,BinhDuong,Vietnam,Manager_0009,0600000049,warehouse0049@example.com,2978,304,main,active,demo_data
WH-0050,Warehouse_0050,Loc_WH-0050_BacNinh,BacNinh,Vietnam,Manager_0010,0600000050,warehouse0050@example.com,3302,1320,regional,inactive,demo_data
WH-0051,Warehouse_0051,Loc_WH-0051_HaNoi,HaNoi,Vietnam,Manager_0011,0600000051,warehouse0051@example.com,19188,2933,distribution,maintenance,demo_data
WH-0052,Warehouse_0052,Loc_WH-0052_HoChiMinh,HoChiMinh,Vietnam,Manager_0012,0600000052,warehouse0052@example.com,15487,14810,retail,active,demo_data
WH-0053,Warehouse_0053,Loc_WH-0053_DaNang,DaNang,Vietnam,Manager_0013,0600000053,warehouse0053@example.com,3593,421,main,inactive,demo_data
WH-0054,Warehouse_0054,Loc_WH-0054_HaiPhong,HaiPhong,Vietnam,Manager_0014,0600000054,warehouse0054@example.com,16019,14033,regional,maintenance,demo_data
WH-0055,Warehouse_0055,Loc_WH-0055_CanTho,CanTho,Vietnam,Manager_0015,0600000055,warehouse0055@example.com,11985,7295,distribution,active,demo_data
WH-0056,Warehouse_0056,Loc_WH-0056_Hue,Hue,Vietnam,Manager_0016,0600000056,warehouse0056@example.com,9078,3137,retail,inactive,demo_data
WH-0057,Warehouse_0057,Loc_WH-0057_NhaTrang,NhaTrang,Vietnam,Manager_0017,0600000057,warehouse0057@example.com,13234,1295,main,maintenance,demo_data
WH-0058,Warehouse_0058,Loc_WH-0058_VungTau,VungTau,Vietnam,Manager_0018,0600000058,warehouse0058@example.com,7276,6960,regional,active,demo_data
WH-0059,Warehouse_0059,Loc_WH-0059_BinhDuong,BinhDuong,Vietnam,Manager_0019,0600000059,warehouse0059@example.com,1977,1591,distribution,inactive,demo_data
WH-0060,Warehouse_0060,Loc_WH-0060_BacNinh,BacNinh,Vietnam,Manager_0020,0600000060,warehouse0060@example.com,19278,10754,retail,maintenance,demo_data
WH-0061,Warehouse_0061,Loc_WH-0061_HaNoi,HaNoi,Vietnam,Manager_0021,0600000061,warehouse0061@example.com,8288,1135,main,active,demo_data
WH-0062,Warehouse_0062,Loc_WH-0062_HoChiMinh,HoChiMinh,Vietnam,Manager_0022,0600000062,warehouse0062@example.com,13947,4054,regional,inactive,demo_data
WH-0063,Warehouse_0063,Loc_WH-0063_DaNang,DaNang,Vietnam,Manager_0023,0600000063,warehouse0063@example.com,8795,2735,distribution,maintenance,demo_data
WH-0064,Warehouse_0064,Loc_WH-0064_HaiPhong,HaiPhong,Vietnam,Manager_0024,0600000064,warehouse0064@example.com,16190,7264,retail,active,demo_data
WH-0065,Warehouse_0065,Loc_WH-0065_CanTho,CanTho,Vietnam,Manager_0025,0600000065,warehouse0065@example.com,15804,14789,main,inactive,demo_data
WH-0066,Warehouse_0066,Loc_WH-0066_Hue,Hue,Vietnam,Manager_0026,0600000066,warehouse0066@example.com,1382,240,regional,maintenance,demo_data
WH-0067,Warehouse_0067,Loc_WH-0067_NhaTrang,NhaTrang,Vietnam,Manager_0027,0600000067,warehouse0067@example.com,11734,298,distribution,active,demo_data
WH-0068,Warehouse_0068,Loc_WH-0068_VungTau,VungTau,Vietnam,Manager_0028,0600000068,warehouse0068@example.com,851,330,retail,inactive,demo_data
WH-0069,Warehouse_0069,Loc_WH-0069_BinhDuong,BinhDuong,Vietnam,Manager_0029,0600000069,warehouse0069@example.com,15678,14955,main,maintenance,demo_data
WH-0070,Warehouse_0070,Loc_WH-0070_BacNinh,BacNinh,Vietnam,Manager_0030,0600000070,warehouse0070@example.com,15781,7188,regional,active,demo_data
WH-0071,Warehouse_0071,Loc_WH-0071_HaNoi,HaNoi,Vietnam,Manager_0031,0600000071,warehouse0071@example.com,9885,299,distribution,inactive,demo_data
WH-0072,Warehouse_0072,Loc_WH-0072_HoChiMinh,HoChiMinh,Vietnam,Manager_0032,0600000072,warehouse0072@example.com,3470,1888,retail,maintenance,demo_data
WH-0073,Warehouse_0073,Loc_WH-0073_DaNang,DaNang,Vietnam,Manager_0033,0600000073,warehouse0073@example.com,12323,11678,main,active,demo_data
WH-0074,Warehouse_0074,Loc_WH-0074_HaiPhong,HaiPhong,Vietnam,Manager_0034,0600000074,warehouse0074@example.com,14552,3081,regional,inactive,demo_data
WH-0075,Warehouse_0075,Loc_WH-0075_CanTho,CanTho,Vietnam,Manager_0035,0600000075,warehouse0075@example.com,16211,8408,distribution,maintenance,demo_data
WH-0076,Warehouse_0076,Loc_WH-0076_Hue,Hue,Vietnam,Manager_0036,0600000076,warehouse0076@example.com,13593,7117,retail,active,demo_data
WH-0077,Warehouse_0077,Loc_WH-0077_NhaTrang,NhaTrang,Vietnam,Manager_0037,0600000077,warehouse0077@example.com,12759,11581,main,inactive,demo_data
WH-0078,Warehouse_0078,Loc_WH-0078_VungTau,VungTau,Vietnam,Manager_0038,0600000078,warehouse0078@example.com,1905,269,regional,maintenance,demo_data
WH-0079,Warehouse_0079,Loc_WH-0079_BinhDuong,BinhDuong,Vietnam,Manager_0039,0600000079,warehouse0079@example.com,15188,13437,distribution,active,demo_data
WH-0080,Warehouse_0080,Loc_WH-0080_BacNinh,BacNinh,Vietnam,Manager_0040,0600000080,warehouse0080@example.com,16593,16288,retail,inactive,demo_data
WH-0081,Warehouse_0081,Loc_WH-0081_HaNoi,HaNoi,Vietnam,Manager_0001,0600000081,warehouse0081@example.com,14139,4466,main,maintenance,demo_data
WH-0082,Warehouse_0082,Loc_WH-0082_HoChiMinh,HoChiMinh,Vietnam,Manager_0002,0600000082,warehouse0082@example.com,15780,4727,regional,active,demo_data
WH-0083,Warehouse_0083,Loc_WH-0083_DaNang,DaNang,Vietnam,Manager_0003,0600000083,warehouse0083@example.com,17027,2676,distribution,inactive,demo_data
WH-0084,Warehouse_0084,Loc_WH-0084_HaiPhong,HaiPhong,Vietnam,Manager_0004,0600000084,warehouse0084@example.com,13008,3351,retail,maintenance,demo_data
WH-0085,Warehouse_0085,Loc_WH-0085_CanTho,CanTho,Vietnam,Manager_0005,0600000085,warehouse0085@example.com,17150,2100,main,active,demo_data
WH-0086,Warehouse_0086,Loc_WH-0086_Hue,Hue,Vietnam,Manager_0006,0600000086,warehouse0086@example.com,18628,13272,regional,inactive,demo_data
WH-0087,Warehouse_0087,Loc_WH-0087_NhaTrang,NhaTrang,Vietnam,Manager_0007,0600000087,warehouse0087@example.com,4524,826,distribution,maintenance,demo_data
WH-0088,Warehouse_0088,Loc_WH-0088_VungTau,VungTau,Vietnam,Manager_0008,0600000088,warehouse0088@example.com,14675,3243,retail,active,demo_data
WH-0089,Warehouse_0089,Loc_WH-0089_BinhDuong,BinhDuong,Vietnam,Manager_0009,0600000089,warehouse0089@example.com,943,413,main,inactive,demo_data
WH-0090,Warehouse_0090,Loc_WH-0090_BacNinh,BacNinh,Vietnam,Manager_0010,0600000090,warehouse0090@example.com,14281,12509,regional,maintenance,demo_data
WH-0091,Warehouse_0091,Loc_WH-0091_HaNoi,HaNoi,Vietnam,Manager_0011,0600000091,warehouse0091@example.com,15249,7581,distribution,active,demo_data
WH-0092,Warehouse_0092,Loc_WH-0092_HoChiMinh,HoChiMinh,Vietnam,Manager_0012,0600000092,warehouse0092@example.com,1805,1281,retail,inactive,demo_data
WH-0093,Warehouse_0093,Loc_WH-0093_DaNang,DaNang,Vietnam,Manager_0013,0600000093,warehouse0093@example.com,11052,1796,main,maintenance,demo_data
WH-0094,Warehouse_0094,Loc_WH-0094_HaiPhong,HaiPhong,Vietnam,Manager_0014,0600000094,warehouse0094@example.com,2847,1121,regional,active,demo_data
WH-0095,Warehouse_0095,Loc_WH-0095_CanTho,CanTho,Vietnam,Manager_0015,0600000095,warehouse0095@example.com,17186,10909,distribution,inactive,demo_data
WH-0096,Warehouse_0096,Loc_WH-0096_Hue,Hue,Vietnam,Manager_0016,0600000096,warehouse0096@example.com,13928,10663,retail,maintenance,demo_data
WH-0097,Warehouse_0097,Loc_WH-0097_NhaTrang,NhaTrang,Vietnam,Manager_0017,0600000097,warehouse0097@example.com,11070,3070,main,active,demo_data
WH-0098,Warehouse_0098,Loc_WH-0098_VungTau,VungTau,Vietnam,Manager_0018,0600000098,warehouse0098@example.com,6831,4508,regional,inactive,demo_data
WH-0099,Warehouse_0099,Loc_WH-0099_BinhDuong,BinhDuong,Vietnam,Manager_0019,0600000099,warehouse0099@example.com,4873,497,distribution,maintenance,demo_data
WH-0100,Warehouse_0100,Loc_WH-0100_BacNinh,BacNinh,Vietnam,Manager_0020,0600000100,warehouse0100@example.com,11200,4132,retail,active,demo_data
WH-0101,Warehouse_0101,Loc_WH-0101_HaNoi,HaNoi,Vietnam,Manager_0021,0600000101,warehouse0101@example.com,6749,6290,main,inactive,demo_data
WH-0102,Warehouse_0102,Loc_WH-0102_HoChiMinh,HoChiMinh,Vietnam,Manager_0022,0600000102,warehouse0102@example.com,2630,2411,regional,maintenance,demo_data
WH-0103,Warehouse_0103,Loc_WH-0103_DaNang,DaNang,Vietnam,Manager_0023,0600000103,warehouse0103@example.com,18944,3270,distribution,active,demo_data
WH-0104,Warehouse_0104,Loc_WH-0104_HaiPhong,HaiPhong,Vietnam,Manager_0024,0600000104,warehouse0104@example.com,17736,17402,retail,inactive,demo_data
WH-0105,Warehouse_0105,Loc_WH-0105_CanTho,CanTho,Vietnam,Manager_0025,0600000105,warehouse0105@example.com,17633,3883,main,maintenance,demo_data
WH-0106,Warehouse_0106,Loc_WH-0106_Hue,Hue,Vietnam,Manager_0026,0600000106,warehouse0106@example.com,15429,1349,regional,active,demo_data
WH-0107,Warehouse_0107,Loc_WH-0107_NhaTrang,NhaTrang,Vietnam,Manager_0027,0600000107,warehouse0107@example.com,9044,5670,distribution,inactive,demo_data
WH-0108,Warehouse_0108,Loc_WH-0108_VungTau,VungTau,Vietnam,Manager_0028,0600000108,warehouse0108@example.com,12247,9553,retail,maintenance,demo_data
WH-0109,Warehouse_0109,Loc_WH-0109_BinhDuong,BinhDuong,Vietnam,Manager_0029,0600000109,warehouse0109@example.com,19549,14494,main,active,demo_data
WH-0110,Warehouse_0110,Loc_WH-0110_BacNinh,BacNinh,Vietnam,Manager_0030,0600000110,warehouse0110@example.com,7874,683,regional,inactive,demo_data
WH-0111,Warehouse_0111,Loc_WH-0111_HaNoi,HaNoi,Vietnam,Manager_0031,0600000111,warehouse0111@example.com,13654,7104,distribution,maintenance,demo_data
WH-0112,Warehouse_0112,Loc_WH-0112_HoChiMinh,HoChiMinh,Vietnam,Manager_0032,0600000112,warehouse0112@example.com,5376,2250,retail,active,demo_data
WH-0113,Warehouse_0113,Loc_WH-0113_DaNang,DaNang,Vietnam,Manager_0033,0600000113,warehouse0113@example.com,19022,7122,main,inactive,demo_data
WH-0114,Warehouse_0114,Loc_WH-0114_HaiPhong,HaiPhong,Vietnam,Manager_0034,0600000114,warehouse0114@example.com,17348,7308,regional,maintenance,demo_data
WH-0115,Warehouse_0115,Loc_WH-0115_CanTho,CanTho,Vietnam,Manager_0035,0600000115,warehouse0115@example.com,17206,14618,distribution,active,demo_data
WH-0116,Warehouse_0116,Loc_WH-0116_Hue,Hue,Vietnam,Manager_0036,0600000116,warehouse0116@example.com,18915,9038,retail,inactive,demo_data
WH-0117,Warehouse_0117,Loc_WH-0117_NhaTrang,NhaTrang,Vietnam,Manager_0037,0600000117,warehouse0117@example.com,11438,10104,main,maintenance,demo_data
WH-0118,Warehouse_0118,Loc_WH-0118_VungTau,VungTau,Vietnam,Manager_0038,0600000118,warehouse0118@example.com,16794,1234,regional,active,demo_data
WH-0119,Warehouse_0119,Loc_WH-0119_BinhDuong,BinhDuong,Vietnam,Manager_0039,0600000119,warehouse0119@example.com,5956,4499,distribution,inactive,demo_data
WH-0120,Warehouse_0120,Loc_WH-0120_BacNinh,BacNinh,Vietnam,Manager_0040,0600000120,warehouse0120@example.com,7368,1599,retail,maintenance,demo_data
WH-0121,Warehouse_0121,Loc_WH-0121_HaNoi,HaNoi,Vietnam,Manager_0001,0600000121,warehouse0121@example.com,6222,2118,main,active,demo_data
WH-0122,Warehouse_0122,Loc_WH-0122_HoChiMinh,HoChiMinh,Vietnam,Manager_0002,0600000122,warehouse0122@example.com,14098,6293,regional,inactive,demo_data
WH-0123,Warehouse_0123,Loc_WH-0123_DaNang,DaNang,Vietnam,Manager_0003,0600000123,warehouse0123@example.com,4498,1810,distribution,maintenance,demo_data
WH-0124,Warehouse_0124,Loc_WH-0124_HaiPhong,HaiPhong,Vietnam,Manager_0004,0600000124,warehouse0124@example.com,19149,8247,retail,active,demo_data
WH-0125,Warehouse_0125,Loc_WH-0125_CanTho,CanTho,Vietnam,Manager_0005,0600000125,warehouse0125@example.com,17311,2875,main,inactive,demo_data
WH-0126,Warehouse_0126,Loc_WH-0126_Hue,Hue,Vietnam,Manager_0006,0600000126,warehouse0126@example.com,827,34,regional,maintenance,demo_data
WH-0127,Warehouse_0127,Loc_WH-0127_NhaTrang,NhaTrang,Vietnam,Manager_0007,0600000127,warehouse0127@example.com,18675,1335,distribution,active,demo_data
WH-0128,Warehouse_0128,Loc_WH-0128_VungTau,VungTau,Vietnam,Manager_0008,0600000128,warehouse0128@example.com,14156,2334,retail,inactive,demo_data
WH-0129,Warehouse_0129,Loc_WH-0129_BinhDuong,BinhDuong,Vietnam,Manager_0009,0600000129,warehouse0129@example.com,8493,1733,main,maintenance,demo_data
WH-0130,Warehouse_0130,Loc_WH-0130_BacNinh,BacNinh,Vietnam,Manager_0010,0600000130,warehouse0130@example.com,12669,3988,regional,active,demo_data
WH-0131,Warehouse_0131,Loc_WH-0131_HaNoi,HaNoi,Vietnam,Manager_0011,0600000131,warehouse0131@example.com,8492,3384,distribution,inactive,demo_data
WH-0132,Warehouse_0132,Loc_WH-0132_HoChiMinh,HoChiMinh,Vietnam,Manager_0012,0600000132,warehouse0132@example.com,9883,2537,retail,maintenance,demo_data
WH-0133,Warehouse_0133,Loc_WH-0133_DaNang,DaNang,Vietnam,Manager_0013,0600000133,warehouse0133@example.com,14655,8877,main,active,demo_data
WH-0134,Warehouse_0134,Loc_WH-0134_HaiPhong,HaiPhong,Vietnam,Manager_0014,0600000134,warehouse0134@example.com,2234,1460,regional,inactive,demo_data
WH-0135,Warehouse_0135,Loc_WH-0135_CanTho,CanTho,Vietnam,Manager_0015,0600000135,warehouse0135@example.com,13107,11160,distribution,maintenance,demo_data
WH-0136,Warehouse_0136,Loc_WH-0136_Hue,Hue,Vietnam,Manager_0016,0600000136,warehouse0136@example.com,6823,2344,retail,active,demo_data
WH-0137,Warehouse_0137,Loc_WH-0137_NhaTrang,NhaTrang,Vietnam,Manager_0017,0600000137,warehouse0137@example.com,12652,12135,main,inactive,demo_data
WH-0138,Warehouse_0138,Loc_WH-0138_VungTau,VungTau,Vietnam,Manager_0018,0600000138,warehouse0138@example.com,15958,11270,regional,maintenance,demo_data
WH-0139,Warehouse_0139,Loc_WH-0139_BinhDuong,BinhDuong,Vietnam,Manager_0019,0600000139,warehouse0139@example.com,6087,1640,distribution,active,demo_data
WH-0140,Warehouse_0140,Loc_WH-0140_BacNinh,BacNinh,Vietnam,Manager_0020,0600000140,warehouse0140@example.com,4663,3267,retail,inactive,demo_data
WH-0141,Warehouse_0141,Loc_WH-0141_HaNoi,HaNoi,Vietnam,Manager_0021,0600000141,warehouse0141@example.com,2213,540,main,maintenance,demo_data
WH-0142,Warehouse_0142,Loc_WH-0142_HoChiMinh,HoChiMinh,Vietnam,Manager_0022,0600000142,warehouse0142@example.com,19080,2630,regional,active,demo_data
WH-0143,Warehouse_0143,Loc_WH-0143_DaNang,DaNang,Vietnam,Manager_0023,0600000143,warehouse0143@example.com,14135,7178,distribution,inactive,demo_data
WH-0144,Warehouse_0144,Loc_WH-0144_HaiPhong,HaiPhong,Vietnam,Manager_0024,0600000144,warehouse0144@example.com,4038,3860,retail,maintenance,demo_data
WH-0145,Warehouse_0145,Loc_WH-0145_CanTho,CanTho,Vietnam,Manager_0025,0600000145,warehouse0145@example.com,2962,1823,main,active,demo_data
WH-0146,Warehouse_0146,Loc_WH-0146_Hue,Hue,Vietnam,Manager_0026,0600000146,warehouse0146@example.com,15725,15380,regional,inactive,demo_data
WH-0147,Warehouse_0147,Loc_WH-0147_NhaTrang,NhaTrang,Vietnam,Manager_0027,0600000147,warehouse0147@example.com,18437,14640,distribution,maintenance,demo_data
WH-0148,Warehouse_0148,Loc_WH-0148_VungTau,VungTau,Vietnam,Manager_0028,0600000148,warehouse0148@example.com,17377,951,retail,active,demo_data
WH-0149,Warehouse_0149,Loc_WH-0149_BinhDuong,BinhDuong,Vietnam,Manager_0029,0600000149,warehouse0149@example.com,12916,186,main,inactive,demo_data
WH-0150,Warehouse_0150,Loc_WH-0150_BacNinh,BacNinh,Vietnam,Manager_0030,0600000150,warehouse0150@example.com,6338,3029,regional,maintenance,demo_data
WH-0151,Warehouse_0151,Loc_WH-0151_HaNoi,HaNoi,Vietnam,Manager_0031,0600000151,warehouse0151@example.com,14171,3942,distribution,active,demo_data
WH-0152,Warehouse_0152,Loc_WH-0152_HoChiMinh,HoChiMinh,Vietnam,Manager_0032,0600000152,warehouse0152@example.com,9162,6813,retail,inactive,demo_data
WH-0153,Warehouse_0153,Loc_WH-0153_DaNang,DaNang,Vietnam,Manager_0033,0600000153,warehouse0153@example.com,4078,2184,main,maintenance,demo_data
WH-0154,Warehouse_0154,Loc_WH-0154_HaiPhong,HaiPhong,Vietnam,Manager_0034,0600000154,warehouse0154@example.com,7216,1268,regional,active,demo_data
WH-0155,Warehouse_0155,Loc_WH-0155_CanTho,CanTho,Vietnam,Manager_0035,0600000155,warehouse0155@example.com,15581,15410,distribution,inactive,demo_data
WH-0156,Warehouse_0156,Loc_WH-0156_Hue,Hue,Vietnam,Manager_0036,0600000156,warehouse0156@example.com,6417,247,retail,maintenance,demo_data
WH-0157,Warehouse_0157,Loc_WH-0157_NhaTrang,NhaTrang,Vietnam,Manager_0037,0600000157,warehouse0157@example.com,19254,2139,main,active,demo_data
WH-0158,Warehouse_0158,Loc_WH-0158_VungTau,VungTau,Vietnam,Manager_0038,0600000158,warehouse0158@example.com,8032,7663,regional,inactive,demo_data
WH-0159,Warehouse_0159,Loc_WH-0159_BinhDuong,BinhDuong,Vietnam,Manager_0039,0600000159,warehouse0159@example.com,1781,1356,distribution,maintenance,demo_data
WH-0160,Warehouse_0160,Loc_WH-0160_BacNinh,BacNinh,Vietnam,Manager_0040,0600000160,warehouse0160@example.com,6550,3584,retail,active,demo_data
WH-0161,Warehouse_0161,Loc_WH-0161_HaNoi,HaNoi,Vietnam,Manager_0001,0600000161,warehouse0161@example.com,2884,1283,main,inactive,demo_data
WH-0162,Warehouse_0162,Loc_WH-0162_HoChiMinh,HoChiMinh,Vietnam,Manager_0002,0600000162,warehouse0162@example.com,17518,15557,regional,maintenance,demo_data
WH-0163,Warehouse_0163,Loc_WH-0163_DaNang,DaNang,Vietnam,Manager_0003,0600000163,warehouse0163@example.com,18078,7931,distribution,active,demo_data
WH-0164,Warehouse_0164,Loc_WH-0164_HaiPhong,HaiPhong,Vietnam,Manager_0004,0600000164,warehouse0164@example.com,6086,3138,retail,inactive,demo_data
WH-0165,Warehouse_0165,Loc_WH-0165_CanTho,CanTho,Vietnam,Manager_0005,0600000165,warehouse0165@example.com,10384,5037,main,maintenance,demo_data
WH-0166,Warehouse_0166,Loc_WH-0166_Hue,Hue,Vietnam,Manager_0006,0600000166,warehouse0166@example.com,16833,13632,regional,active,demo_data
